#ip,ioc
1.116.144.253,Possible Cobaltstrike C2 IP
1.116.160.39,Possible Cobaltstrike C2 IP
1.116.96.210,Possible Cobaltstrike C2 IP
1.117.58.30,Possible Cobaltstrike C2 IP
1.117.79.251,Possible Cobaltstrike C2 IP
1.117.93.65,Possible Cobaltstrike C2 IP
1.12.36.65,Possible Cobaltstrike C2 IP
1.13.17.185,Possible Cobaltstrike C2 IP
1.14.121.202,Possible Cobaltstrike C2 IP
1.14.205.73,Possible Cobaltstrike C2 IP
1.14.43.163,Possible Cobaltstrike C2 IP
1.14.76.152,Possible Cobaltstrike C2 IP
1.14.92.24,Possible Cobaltstrike C2 IP
1.15.154.133,Possible Cobaltstrike C2 IP
1.15.248.225,Possible Cobaltstrike C2 IP
1.94.97.137,Possible Cobaltstrike C2 IP
100.26.145.203,Possible Cobaltstrike C2 IP
101.132.118.252,Possible Cobaltstrike C2 IP
101.132.250.80,Possible Cobaltstrike C2 IP
101.200.37.16,Possible Cobaltstrike C2 IP
101.201.50.90,Possible Cobaltstrike C2 IP
101.32.34.196,Possible Cobaltstrike C2 IP
101.33.250.143,Possible Cobaltstrike C2 IP
101.34.222.38,Possible Cobaltstrike C2 IP
101.34.46.239,Possible Cobaltstrike C2 IP
101.34.71.193,Possible Cobaltstrike C2 IP
101.35.104.211,Possible Cobaltstrike C2 IP
101.35.141.80,Possible Cobaltstrike C2 IP
101.35.173.226,Possible Cobaltstrike C2 IP
101.35.198.64,Possible Cobaltstrike C2 IP
101.35.21.69,Possible Cobaltstrike C2 IP
101.35.253.212,Possible Cobaltstrike C2 IP
101.35.4.152,Possible Cobaltstrike C2 IP
101.35.42.157,Possible Cobaltstrike C2 IP
101.37.14.112,Possible Cobaltstrike C2 IP
101.42.172.78,Possible Cobaltstrike C2 IP
101.42.8.97,Possible Cobaltstrike C2 IP
101.43.1.44,Possible Cobaltstrike C2 IP
101.43.103.253,Possible Cobaltstrike C2 IP
101.43.109.197,Possible Cobaltstrike C2 IP
101.43.117.80,Possible Cobaltstrike C2 IP
101.43.12.111,Possible Cobaltstrike C2 IP
101.43.142.116,Possible Cobaltstrike C2 IP
101.43.147.69,Possible Cobaltstrike C2 IP
101.43.149.199,Possible Cobaltstrike C2 IP
101.43.156.246,Possible Cobaltstrike C2 IP
101.43.16.149,Possible Cobaltstrike C2 IP
101.43.165.220,Possible Cobaltstrike C2 IP
101.43.183.39,Possible Cobaltstrike C2 IP
101.43.194.127,Possible Cobaltstrike C2 IP
101.43.2.116,Possible Cobaltstrike C2 IP
101.43.249.151,Possible Cobaltstrike C2 IP
101.43.45.243,Possible Cobaltstrike C2 IP
101.43.49.166,Possible Cobaltstrike C2 IP
101.43.49.244,Possible Cobaltstrike C2 IP
101.43.70.206,Possible Cobaltstrike C2 IP
101.43.96.246,Possible Cobaltstrike C2 IP
101.91.154.125,Possible Cobaltstrike C2 IP
103.143.248.179,Possible Cobaltstrike C2 IP
103.146.141.98,Possible Cobaltstrike C2 IP
103.149.200.212,Possible Cobaltstrike C2 IP
103.16.231.87,Possible Cobaltstrike C2 IP
103.176.178.88,Possible Cobaltstrike C2 IP
103.179.243.198,Possible Cobaltstrike C2 IP
103.24.219.42,Possible Cobaltstrike C2 IP
103.24.219.44,Possible Cobaltstrike C2 IP
103.44.250.187,Possible Cobaltstrike C2 IP
103.68.109.31,Possible Metasploit C2 IP
103.96.128.40,Possible Cobaltstrike C2 IP
103.97.177.106,Possible Cobaltstrike C2 IP
104.128.229.73,Possible Cobaltstrike C2 IP
104.131.3.3,Possible Cobaltstrike C2 IP
104.131.3.4,Possible Cobaltstrike C2 IP
104.17.123.55,Possible Cobaltstrike C2 IP
104.223.121.37,Possible Cobaltstrike C2 IP
106.14.143.151,Possible Cobaltstrike C2 IP
106.14.149.88,Possible Cobaltstrike C2 IP
106.14.38.113,Possible Cobaltstrike C2 IP
106.15.235.168,Possible Cobaltstrike C2 IP
106.52.163.222,Possible Cobaltstrike C2 IP
106.52.219.135,Possible Cobaltstrike C2 IP
106.52.244.189,Possible Cobaltstrike C2 IP
106.53.147.223,Possible Cobaltstrike C2 IP
106.54.228.198,Possible Cobaltstrike C2 IP
106.55.181.108,Possible Cobaltstrike C2 IP
106.55.181.95,Possible Cobaltstrike C2 IP
106.75.162.243,Possible Cobaltstrike C2 IP
107.150.5.221,Possible Cobaltstrike C2 IP
107.172.103.148,Possible Cobaltstrike C2 IP
107.173.15.230,Possible Cobaltstrike C2 IP
107.174.186.194,Possible Cobaltstrike C2 IP
107.175.111.199,Possible Cobaltstrike C2 IP
107.21.35.95,Possible PoshC2 IP
109.205.56.206,Possible Cobaltstrike C2 IP
110.40.171.243,Possible Cobaltstrike C2 IP
110.40.177.201,Possible Cobaltstrike C2 IP
110.40.184.247,Possible Cobaltstrike C2 IP
110.41.11.72,Possible Cobaltstrike C2 IP
110.42.192.76,Possible Cobaltstrike C2 IP
110.42.205.49,Possible Cobaltstrike C2 IP
110.42.206.10,Possible Cobaltstrike C2 IP
110.42.222.61,Possible Cobaltstrike C2 IP
110.42.249.222,Possible Cobaltstrike C2 IP
111.229.226.140,Possible Cobaltstrike C2 IP
111.229.75.150,Possible Cobaltstrike C2 IP
111.230.242.229,Possible Cobaltstrike C2 IP
111.230.47.95,Possible Cobaltstrike C2 IP
111.230.53.73,Possible Cobaltstrike C2 IP
111.230.57.184,Possible Cobaltstrike C2 IP
111.67.197.58,Possible Cobaltstrike C2 IP
