#domain,ioc
ad.urlz.ws,Possible Cobalt Strike C2 Domain
adibh.azureedge.net,Possible Cobalt Strike C2 Domain
annualraises2023.zip,Possible Cobalt Strike C2 Domain
anotherpalece.sytes.net,Possible Cobalt Strike C2 Fronted Domain
api.speech-microsoft.com,Possible Cobalt Strike C2 Domain
as.reg32.com,Possible Cobalt Strike C2 Domain
as.regcssv.com,Possible Cobalt Strike C2 Domain
aws-apps.net,Possible Cobalt Strike C2 Fronted Domain
bec.security-ssl.org,Possible Cobalt Strike C2 Domain
cache.thorjane.com,Possible Cobalt Strike C2 Domain
can.comewithme.info,Possible Cobalt Strike C2 Domain
cc.cert-ex.net,Possible Cobalt Strike C2 Domain
cc.youku.zip,Possible Cobalt Strike C2 Domain
cdn-014.epsonupdate.uk,Possible Cobalt Strike C2 Domain
cdn-lnk-075.epsonupdate.uk,Possible Cobalt Strike C2 Domain
cdn.efstech.de,Possible Cobalt Strike C2 Domain
cdn.jquerycodes.com,Possible Cobalt Strike C2 Fronted Domain
cdn.jscriptstore.com,Possible Cobalt Strike C2 Domain
cdn.jscriptstore.com,Possible Cobalt Strike C2 Fronting Domain
cdn.microsolt.top,Possible Cobalt Strike C2 Domain
check.cloudupdateserver.cloudns.org,Possible Cobalt Strike C2 Domain
check.judicical.ml,Possible Cobalt Strike C2 Domain
check.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
check1.judicical.ml,Possible Cobalt Strike C2 Domain
cins.hin7lostvas.pro,Possible Cobalt Strike C2 Domain
cityoall.com,Possible Cobalt Strike C2 Domain
cloudflear.cf,Possible Cobalt Strike C2 Domain
contact.mwam.support,Possible Cobalt Strike C2 Domain
content.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain
copper-king.com,Possible Cobalt Strike C2 Domain
cs.h1ll0.cs.in,Possible Cobalt Strike C2 Domain
css2.officeserver.at,Possible Cobalt Strike C2 Domain
cupdater.bbtecno.com,Possible Cobalt Strike C2 Domain
d11zd6hrtvyf1p.cloudfront.net,Possible PoshC2 Domain
d2zp39t2eezbsc.cloudfront.net,Possible Cobalt Strike C2 Domain
d2zp39t2eezbsc.cloudfront.net,Possible Cobalt Strike C2 Fronting Domain
d3c0hjeoqmryl5.cloudfront.net,Possible Cobalt Strike C2 Domain
d3o8tsrpl5k6yb.cloudfront.net,Possible Cobalt Strike C2 Domain
d3so0g2pxg0u5a.cloudfront.net,Possible Cobalt Strike C2 Domain
d8g.lol,Possible Cobalt Strike C2 Domain
dctrvi.azureedge.net,Possible Cobalt Strike C2 Domain
dev.cabul.bbtecno.com,Possible Cobalt Strike C2 Domain
dh5rg5aebo6yx.cloudfront.net,Possible Cobalt Strike C2 Domain
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dig.fuli-oa.cn,Possible Cobalt Strike C2 Domain
dmobd90auod5w.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain
dns.atchesonprint.com,Possible Cobalt Strike C2 Domain
