#domain,ioc,uri_path
30ht.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js
30ht.com.w.kunlunpi.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
3gjanc04hk.execute-api.us-east-2.amazonaws.com,Possible Cobalt Strike C2 Domain,/v1/get
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Domain,/cx
MicrosoftSyst3m.com,Possible Cobalt Strike C2 Domain,/Enable/v9/WDOBLGWR0S
a.pain.capetown,Possible Cobalt Strike C2 Domain,/ga.js
all.mbblitz.net.w.cdngslb.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
as.reg32.com,Possible Cobalt Strike C2 Domain,/profile
as.regcssv.com,Possible Cobalt Strike C2 Domain,/fam_calendar
assets.samfund.co,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
baidu.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
buy-dnd.shop,Possible Cobalt Strike C2 Domain,/owa/NVyCJTpiNaAQ4eAmnkgwJ2
cc.cert-ex.net,Possible Cobalt Strike C2 Domain,/__utm.gif
cc.youku.zip,Possible Cobalt Strike C2 Domain,/functionalStatus/
cdn-014.epsonupdate.uk,Possible Cobalt Strike C2 Domain,/updates.rss
cdn-lnk-075.epsonupdate.uk,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
cdn.dadadsadaccsoong.top,Possible Cobalt Strike C2 Domain,/api/x
cdn.efstech.de,Possible Cobalt Strike C2 Domain,/adstats/v2/q
cdn.microsolt.top,Possible Cobalt Strike C2 Domain,/wp-admin
cdn043sc.azureedge.net,Possible Cobalt Strike C2 Domain,/ms-settings-proximity
cdncloud.info,Possible Cobalt Strike C2 Domain,/mod/resellers/2E4WLR6U3UV
check.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
check.update.nadra-pk.org,Possible Cobalt Strike C2 Domain,/g.pixel
check1.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
cins.hin7lostvas.pro,Possible Cobalt Strike C2 Domain,/case.css
cityoall.com,Possible Cobalt Strike C2 Domain,/dpixel
cloudflear.cf,Possible Cobalt Strike C2 Domain,/api/3
code.jquery.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.5.1.slim.min.js
contact.mwam.support,Possible Cobalt Strike C2 Domain,/messages/C0527B0NM
content.microsoft.com,Possible Cobalt Strike C2 Fronting Domain,/g.pixel
content.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain,/g.pixel
cs.h1ll0.cs.in,Possible Cobalt Strike C2 Domain,/activity
csvs.ter.one,Possible Cobalt Strike C2 Fronting Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
cyprusvillahomes.com,Possible Cobalt Strike C2 Domain,/assets/scripts/a0aba203-e3f4-4a26-81f8/get/jQuery-UI-1.12.1
d11zd6hrtvyf1p.cloudfront.net,Possible PoshC2 Fronting Domain,/webhp/
d3c0hjeoqmryl5.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h
d3o8tsrpl5k6yb.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h
d3so0g2pxg0u5a.cloudfront.net,Possible Cobalt Strike C2 Domain,/safebrowsing/8q98pYJ/V16gfsYQQuKzweZW4ysIJrtWB-h
d8g.lol,Possible Cobalt Strike C2 Domain,/api/3
d9msk9dy9tbnk.cloudfront.net,Possible Cobalt Strike C2 Fronted Domain,/jquery-2.8.4.min.js
dctrvi.azureedge.net,Possible Cobalt Strike C2 Domain,/w3c.js
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dig.fuli-oa.cn,Possible Cobalt Strike C2 Domain,/en_US/all.js
dig.fuli-oa.cn,Possible Cobalt Strike C2 Domain,/fwlink
dns.artstrailman.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
dns.artstrailreviews.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
dns.atchesonprint.com,Possible Cobalt Strike C2 Domain,/dev/coke/CQHL5IYQF
dns.byresolved.com,Possible Cobalt Strike C2 Domain,/acct.php
dns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
dns.cityoall.com,Possible Cobalt Strike C2 Domain,/pixel.gif
dns.freshstartupusa.org,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
dns.nightmare.su,Possible Cobalt Strike C2 Domain,/PZVM
dns.ns1.akingump.cloud,Possible Cobalt Strike C2 Domain,/fwlink
dns.ringatpstul.com,Possible Cobalt Strike C2 Domain,/cm
dns.sstr.com.br,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
